ano,rodada,time_casa,time_fora,gcasa,gfora
2003,27,vitoria_ba,gremio_rs,4,1,
2003,27,atletico_pr,figueirense_sc,1,2,
2003,27,santos_sp,paysandu_pa,2,0,
2003,27,corinthians_sp,vasco_rj,0,0,
2003,27,fortaleza_ce,saopaulo_sp,0,2,
2003,27,inter_rs,fluminense_rj,0,1,
2003,27,guarani_sp,atletico_mg,2,2,
2003,27,criciuma_sc,pontepreta_sp,3,0,
2003,28,santos_sp,flamengo_rj,2,1,
2003,28,atletico_pr,fortaleza_ce,3,1,
2003,28,goiás_go,cruzeiro_mg,1,0,
2003,28,gremio_rs,saocaetano_sp,0,0,
2003,28,vasco_rj,saopaulo_sp,3,2,
2003,28,paysandu_pa,pontepreta_sp,3,2,
2003,28,parana_pr,fluminense_rj,2,0,
2003,28,guarani_sp,criciuma_sc,1,0,
2003,28,figueirense_sc,coritiba_pr,1,2,
2003,28,vitoria_ba,juventude_rs,3,0,
2003,28,atletico_mg,bahia_ba,1,0,
2003,28,corinthians_sp,inter_rs,3,1,
2003,29,fluminense_rj,gremio_rs,2,0,
2003,29,fortaleza_ce,santos_sp,0,0,
2003,29,inter_rs,vitoria_ba,0,1,
2003,29,cruzeiro_mg,guarani_sp,4,1,
2003,29,saopaulo_sp,paysandu_pa,1,0,
2003,29,saocaetano_sp,vasco_rj,1,0,
2003,29,juventude_rs,goiás_go,0,2,
2003,29,pontepreta_sp,figueirense_sc,1,1,
2003,29,bahia_ba,parana_pr,4,2,
2003,29,flamengo_rj,corinthians_sp,1,0,
2003,29,coritiba_pr,atletico_mg,2,2,
2003,29,criciuma_sc,atletico_pr,2,0,
2003,30,atletico_pr,cruzeiro_mg,1,4,
2003,30,santos_sp,criciuma_sc,5,2,
2003,30,gremio_rs,bahia_ba,1,1,
2003,30,corinthians_sp,fortaleza_ce,2,0,
2003,30,vitoria_ba,flamengo_rj,1,0,
2003,30,goiás_go,inter_rs,3,1,
2003,30,figueirense_sc,saopaulo_sp,2,2,
2003,30,paysandu_pa,saocaetano_sp,1,0,
2003,30,guarani_sp,juventude_rs,2,0,
2003,30,parana_pr,coritiba_pr,2,3,
2003,30,vasco_rj,fluminense_rj,1,0,
2003,30,atletico_mg,pontepreta_sp,2,0,
2003,31,pontepreta_sp,parana_pr,4,0,
